Country Name,Country Code,Series Name,Series Code,1996 [YR1996],1998 [YR1998],2000 [YR2000],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022]
Afghanistan,AFG,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,-2.417309523,-2.427354574,-2.438968897,-2.035033703,-2.198372364,-2.295682192,-2.06750989,-2.219134569,-2.41337347,-2.69136095,-2.71142149,-2.579151869,-2.502059698,-2.418561459,-2.519349098,-2.411068439,-2.56262517,-2.662156105,-2.794973612,-2.753262043,-2.652406931,-2.702631712,-2.518530369,-2.550801754
Albania,ALB,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,-0.336625129,-0.544004202,-0.539989591,-0.297719181,-0.30978024,-0.427259684,-0.505047977,-0.508157313,-0.203974649,-0.030500913,-0.045140512,-0.191482902,-0.282379419,-0.143631592,0.091929786,0.485986233,0.341639042,0.337447882,0.37376982,0.366642982,0.11004968,0.088576451,0.196294025,0.114945494
Algeria,DZA,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,-1.783310533,-1.8789047,-1.432577372,-1.634565115,-1.754409075,-1.359188437,-0.91366601,-1.126413465,-1.150585532,-1.095846295,-1.196913481,-1.259367585,-1.360560656,-1.325043321,-1.202371478,-1.190535188,-1.090786576,-1.099741936,-0.919614136,-0.84212178,-1.055829883,-0.847814322,-0.992437243,-0.741771519
American Samoa,ASM,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,..,..,..,..,..,0.736926496,0.746284068,0.703987658,0.967931151,0.984463036,0.945724666,0.919146717,0.93399018,0.95299083,0.928985775,1.08068347,1.151678085,1.158555984,1.184322,1.166080236,1.145717978,1.09160161,1.068576336,1.128859043
Andorra,AND,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,1.169522166,1.182875156,1.166981459,1.282766938,1.465131164,1.402106047,1.384927273,1.349654078,1.342015743,1.338472128,1.297139525,1.278272152,1.302488327,1.290351152,1.28392601,1.286593318,1.365985394,1.382750273,1.39288795,1.391008735,1.577211499,1.588571787,1.581067443,1.587736487
Angola,AGO,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,-2.061917305,-2.318058491,-2.038173914,-1.576179862,-1.00738585,-1.063120604,-0.885178328,-0.539453447,-0.666658759,-0.361787379,-0.347591847,-0.226182342,-0.36923781,-0.389322549,-0.391233474,-0.333232045,-0.505385816,-0.321580082,-0.389134824,-0.347750902,-0.370094687,-0.600726008,-0.709369481,-0.64624089
Anguilla,AIA,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,..,..,..,..,..,0.788184822,1.189666033,1.104799986,1.085738063,1.112509608,0.868718088,1.373761654,1.550927639,1.476920247,1.533979535,1.164254904,1.220001817,1.284042716,1.358389258,1.254837275,1.316908598,1.503742933,1.528599858,1.128859043
Antigua and Barbuda,ATG,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,0.717076898,0.728511989,0.713235021,0.792559922,0.865690112,1.084635615,0.830512524,0.799820721,0.802670181,0.813891828,0.721793532,0.904999375,0.957588255,0.975788057,0.958863378,0.984550714,0.987564266,0.859249651,0.732059717,0.822919726,0.937967896,0.929504931,0.949530005,0.943862259
Argentina,ARG,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,0.111376882,-0.13464959,0.095823877,-0.776545405,-0.359838128,-0.610934913,-0.041774943,0.001967763,0.097796634,-0.087755688,-0.234854579,-0.084797867,0.158993661,0.103040546,0.065314263,-0.005121871,0.008764135,0.197749898,0.162541434,0.006809914,-0.097864307,-0.072026245,0.000468279,-0.009163282
Armenia,ARM,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,-0.364998609,-0.662787318,-0.682867944,-0.255784124,0.236966237,-0.116337486,-0.066335395,-0.26102376,0.150905833,-0.006853028,0.227863356,0.071855329,-0.063868985,0.154794976,0.110385142,-0.2971358,-0.256798655,-0.667951107,-0.626211226,-0.451120526,-0.420044243,-0.771642268,-0.804036558,-0.797183931
