micnum,stmon,stday,styear,endmon,endday,endyear,fatalmin,fatalmax,hiact,hostlev,outcome,numa,numb,version
2,5,-9,1902,5,-9,1902,0,0,7,3,6,1,1,mic-1.0
3,10,7,1913,10,25,1913,0,0,1,2,4,1,1,mic-1.0
4,5,15,1946,11,13,1946,44,44,16,4,6,1,1,mic-1.0
7,10,13,1951,1,25,1952,41,51,17,4,1,1,1,mic-1.0
8,7,11,1856,3,26,1857,1027,1475,22,5,1,1,1,mic-1.0
9,12,29,1889,1,10,1890,0,0,7,3,4,1,1,mic-1.0
11,3,11,1938,3,12,1938,0,0,14,4,4,1,1,mic-1.0
12,3,11,1938,9,30,1938,0,0,11,3,4,1,5,mic-1.0
13,4,6,1863,12,11,1864,39,66,16,4,5,4,1,mic-1.0
14,10,15,1895,10,31,1895,0,0,7,3,4,1,1,mic-1.0
15,2,1,1839,10,-9,1839,0,0,15,4,6,1,1,mic-1.0
16,12,25,1897,2,19,1898,0,0,7,3,4,2,2,mic-1.0
19,3,1,1848,8,9,1849,6613,8722,22,5,5,5,1,mic-1.0
20,11,-9,1945,5,6,1946,0,0,14,4,3,1,1,mic-1.0
21,11,21,1912,12,3,1912,0,0,10,3,5,1,2,mic-1.0
22,6,15,1940,6,16,1940,3,3,16,4,1,1,1,mic-1.0
23,9,19,1939,9,28,1939,0,0,13,4,2,1,1,mic-1.0
25,8,2,1831,2,4,1832,162,290,16,4,2,1,3,mic-1.0
26,3,21,1948,7,25,1949,0,0,16,4,5,1,3,mic-1.0
27,7,15,1961,10,3,1962,2,2,17,4,5,4,4,mic-1.0
28,7,17,1961,9,29,1961,46,109,17,4,6,1,1,mic-1.0
30,10,6,1908,3,31,1909,0,0,14,4,4,1,1,mic-1.0
31,5,30,1900,2,10,1901,2293,4108,22,5,1,8,1,mic-1.0
38,12,29,1837,1,5,1838,0,0,16,4,5,1,1,mic-1.0
40,4,20,1928,3,28,1929,91,305,17,4,4,1,1,mic-1.0
41,5,27,1929,12,22,1929,4092,7007,22,5,3,1,1,mic-1.0
43,11,13,1897,3,6,1898,0,0,16,4,1,1,1,mic-1.0
50,3,5,1950,6,12,1957,11325,23721,22,5,5,1,2,mic-1.0
51,6,25,1950,7,27,1953,569000,966952,22,5,5,2,17,mic-1.0
53,8,22,1956,8,23,1956,16,16,16,4,5,1,1,mic-1.0
55,8,29,1923,9,27,1923,0,0,16,4,6,1,1,mic-1.0
56,2,-9,1897,9,21,1897,0,0,16,4,4,6,2,mic-1.0
57,5,31,1853,3,30,1856,103610,127780,22,5,2,1,5,mic-1.0
61,8,1,1962,12,12,1962,0,0,16,4,4,1,2,mic-1.0
64,3,17,1826,10,7,1826,0,0,7,3,4,1,1,mic-1.0
