micnum,ccode,stmon,stday,styear,endmon,endday,endyear,sidea,fatalmin,fatalmax,hiact,hostlev,orig,version
2,200,5,-9,1902,5,-9,1902,0,0,0,0,1,1,mic-1.0
2,2,5,-9,1902,5,-9,1902,1,0,0,7,3,1,mic-1.0
3,345,10,7,1913,10,25,1913,0,0,0,0,1,1,mic-1.0
3,300,10,7,1913,10,25,1913,1,0,0,1,2,1,mic-1.0
4,339,5,15,1946,11,13,1946,1,0,0,16,4,1,mic-1.0
4,200,5,15,1946,11,13,1946,0,44,44,7,3,1,mic-1.0
7,200,10,13,1951,1,25,1952,1,1,1,17,4,1,mic-1.0
7,651,10,13,1951,1,25,1952,0,40,50,17,4,1,mic-1.0
8,630,7,11,1856,3,26,1857,0,1000,1400,22,5,1,mic-1.0
8,200,7,11,1856,3,26,1857,1,27,75,22,5,1,mic-1.0
9,235,12,29,1889,1,10,1890,0,0,0,0,1,1,mic-1.0
9,200,12,29,1889,1,10,1890,1,0,0,7,3,1,mic-1.0
11,305,3,11,1938,3,12,1938,0,0,0,0,1,1,mic-1.0
11,255,3,11,1938,3,12,1938,1,0,0,14,4,1,mic-1.0
12,365,9,16,1938,9,30,1938,0,0,0,7,3,0,mic-1.0
12,211,9,7,1938,9,30,1938,0,0,0,7,3,0,mic-1.0
12,200,5,22,1938,9,30,1938,0,0,0,7,3,0,mic-1.0
12,220,8,31,1938,9,30,1938,0,0,0,10,3,0,mic-1.0
12,255,3,11,1938,9,30,1938,1,0,0,11,3,1,mic-1.0
12,315,3,11,1938,9,30,1938,0,0,0,10,3,1,mic-1.0
13,740,4,6,1863,12,11,1864,0,15,20,0,1,1,mic-1.0
13,200,1,-9,1864,12,11,1864,1,5,10,16,4,0,mic-1.0
13,2,7,16,1863,12,11,1864,1,4,4,16,4,0,mic-1.0
13,220,7,20,1863,12,11,1864,1,9,14,16,4,0,mic-1.0
13,210,7,11,1863,12,11,1864,1,6,18,16,4,0,mic-1.0
13,200,4,6,1863,4,6,1863,1,0,0,1,2,1,mic-1.0
14,640,10,15,1895,10,31,1895,0,0,0,0,1,1,mic-1.0
14,200,10,15,1895,10,31,1895,1,0,0,7,3,1,mic-1.0
15,2,2,1,1839,10,-9,1839,1,0,0,15,4,1,mic-1.0
15,200,2,1,1839,10,-9,1839,0,0,0,15,4,1,mic-1.0
16,730,12,25,1897,2,19,1898,0,0,0,0,1,1,mic-1.0
16,365,12,25,1897,2,19,1898,0,0,0,0,1,1,mic-1.0
16,740,12,25,1897,2,19,1898,1,0,0,7,3,1,mic-1.0
16,200,12,25,1897,2,19,1898,1,0,0,7,3,1,mic-1.0
19,337,4,10,1848,8,9,1848,1,14,80,22,5,0,mic-1.0
19,332,4,10,1848,8,9,1848,1,14,80,22,5,0,mic-1.0
19,325,3,1,1848,8,9,1849,1,3545,4355,22,5,1,mic-1.0
19,300,3,1,1848,8,9,1849,0,2570,3522,22,5,1,mic-1.0
19,329,3,-9,1848,8,9,1848,1,80,200,22,5,0,mic-1.0
19,327,3,-9,1848,6,11,1848,1,390,485,22,5,0,mic-1.0
20,630,11,-9,1945,5,6,1946,0,0,0,0,1,1,mic-1.0
20,365,11,-9,1945,5,6,1946,1,0,0,14,4,1,mic-1.0
21,345,11,21,1912,12,3,1912,0,0,0,0,1,1,mic-1.0
21,365,11,21,1912,12,3,1912,0,0,0,10,3,1,mic-1.0
21,300,11,21,1912,12,3,1912,1,0,0,10,3,1,mic-1.0
22,365,6,15,1940,6,16,1940,1,0,0,16,4,1,mic-1.0
22,367,6,15,1940,6,16,1940,0,3,3,0,1,1,mic-1.0
23,366,9,19,1939,9,28,1939,0,0,0,0,1,1,mic-1.0
23,365,9,19,1939,9,28,1939,1,0,0,13,4,1,mic-1.0
25,200,8,10,1831,8,10,1831,0,0,0,7,3,0,mic-1.0
25,210,8,2,1831,2,4,1832,1,81,160,16,4,1,mic-1.0
25,211,8,2,1831,2,4,1832,0,81,130,0,1,1,mic-1.0
