micnum,ccode1,ccode2,year,dyfatalmin1,dyfatalmax1,dyfatalmin2,dyfatalmax2,dyhiact1,dyhiact2,dyhostlev1,dyhostlev2,numevents,version
2,2,200,1902,0,0,0,0,7,0,3,1,1,mic-tdd-1.01
2,200,2,1902,0,0,0,0,0,7,1,3,1,mic-tdd-1.01
3,300,345,1913,0,0,0,0,1,0,2,1,1,mic-tdd-1.01
3,345,300,1913,0,0,0,0,0,1,1,2,1,mic-tdd-1.01
4,200,339,1946,44,44,0,0,7,16,3,4,11,mic-tdd-1.01
4,339,200,1946,0,0,44,44,16,7,4,3,11,mic-tdd-1.01
7,200,651,1951,1,1,0,0,17,17,4,4,5,mic-tdd-1.01
7,200,651,1952,0,0,40,50,17,17,4,4,2,mic-tdd-1.01
7,651,200,1951,0,0,1,1,17,17,4,4,5,mic-tdd-1.01
7,651,200,1952,40,50,0,0,17,17,4,4,2,mic-tdd-1.01
8,200,630,1856,2,20,100,200,22,22,5,5,5,mic-tdd-1.01
8,200,630,1857,25,55,900,1200,22,22,5,5,2,mic-tdd-1.01
8,630,200,1856,100,200,2,20,22,22,5,5,5,mic-tdd-1.01
8,630,200,1857,900,1200,25,55,22,22,5,5,2,mic-tdd-1.01
9,200,235,1889,0,0,0,0,7,0,3,1,1,mic-tdd-1.01
9,200,235,1890,0,0,0,0,1,0,2,1,1,mic-tdd-1.01
9,235,200,1889,0,0,0,0,0,7,1,3,1,mic-tdd-1.01
9,235,200,1890,0,0,0,0,0,1,1,2,1,mic-tdd-1.01
11,255,305,1938,0,0,0,0,14,0,4,1,1,mic-tdd-1.01
11,305,255,1938,0,0,0,0,0,14,1,4,1,mic-tdd-1.01
12,200,255,1938,0,0,0,0,7,0,3,1,2,mic-tdd-1.01
12,211,255,1938,0,0,0,0,7,0,3,1,1,mic-tdd-1.01
12,220,255,1938,0,0,0,0,10,0,3,1,4,mic-tdd-1.01
12,255,315,1938,0,0,0,0,11,10,3,3,9,mic-tdd-1.01
12,255,365,1938,0,0,0,0,0,7,1,3,1,mic-tdd-1.01
12,255,200,1938,0,0,0,0,0,7,1,3,2,mic-tdd-1.01
12,255,211,1938,0,0,0,0,0,7,1,3,1,mic-tdd-1.01
12,255,220,1938,0,0,0,0,0,10,1,3,4,mic-tdd-1.01
12,315,255,1938,0,0,0,0,10,11,3,3,9,mic-tdd-1.01
12,365,255,1938,0,0,0,0,7,0,3,1,1,mic-tdd-1.01
13,2,740,1863,4,4,0,0,16,0,4,1,1,mic-tdd-1.01
13,2,740,1864,0,0,0,0,7,0,3,1,3,mic-tdd-1.01
13,200,740,1863,0,0,0,0,1,0,2,1,1,mic-tdd-1.01
13,200,740,1864,5,10,15,20,16,0,4,1,4,mic-tdd-1.01
13,210,740,1863,1,8,0,0,16,0,4,1,2,mic-tdd-1.01
13,210,740,1864,5,10,0,0,16,0,4,1,4,mic-tdd-1.01
