Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Aruba,ABW,Renewable internal freshwater resources per capita (cubic meters),ER.H2O.INTR.PC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Africa Eastern and Southern,AFE,Renewable internal freshwater resources per capita (cubic meters),ER.H2O.INTR.PC,,18434.00879,17934.99054,17447.19748,16965.52212,16492.78503,16032.0149,15580.26563,15136.38408,14702.41213,14279.3527,13870.00701,13480.63578,13097.42713,12714.36924,12342.90371,11986.4647,11639.64557,11279.50897,10907.98218,10554.4741,10246.26058,9957.63292,9662.604105,9371.760239,9086.117336,8806.584222,8536.076543,8286.850768,8052.18201,7824.363674,7621.578564,7435.308159,6340.797556,6177.995065,6020.101937,5861.059058,5713.451625,5572.17285,5432.631626,5297.447637,5164.895584,5034.284453,4906.168817,4780.146756,4656.992611,4536.061126,4416.684441,4299.555592,4185.676105,4074.302367,3965.823781,3593.716152,3496.50107,3402.086979,3309.337129,3221.444096,3138.099611,3055.936675,2975.84472,2898.217411,,,
Afghanistan,AFG,Renewable internal freshwater resources per capita (cubic meters),ER.H2O.INTR.PC,,,5256.968773,5148.804828,5039.808609,4929.354457,4819.512576,4710.275594,4600.996509,4492.834287,4384.834666,4280.193543,4177.463616,4073.326794,3972.239313,3878.300812,3794.687068,3716.314447,3644.060815,3630.730037,3776.038549,4226.730236,4673.736052,4738.003481,4602.835347,4485.25578,4512.634515,4567.577773,4540.875585,4417.619961,4408.686243,4388.019283,3910.450923,3366.952876,3050.683072,2871.688453,2756.246933,2650.541332,2549.595169,2447.7171,2412.630785,2394.782939,2245.210725,2082.125384,2001.821297,1931.491176,1853.166049,1820.231329,1784.146704,1721.72618,1672.59839,1612.012271,1547.602531,1494.869775,1441.181604,1396.892216,1361.292245,1322.824876,1285.203958,1248.361806,1209.835824,,,
Africa Western and Central,AFW,Renewable internal freshwater resources per capita (cubic meters),ER.H2O.INTR.PC,,19115.52716,18713.97704,18312.77583,17916.57584,17523.59735,17134.16914,16752.9195,16376.91324,16004.9584,15634.69775,15268.62216,14905.61967,14540.40152,14172.33924,13801.95669,13439.48395,13081.60629,12723.56048,12370.93799,12028.71962,11695.42418,11366.31257,11065.32132,10783.25208,10499.21592,10222.04128,9951.984052,9687.414875,9426.581566,9182.784959,8947.608801,8709.79474,8483.178284,8265.738953,8048.961483,7838.307027,7633.052051,7430.790343,7234.990427,7041.380644,6849.615152,6662.307528,6479.805072,6301.556581,6127.462431,5958.666533,5794.766809,5635.128348,5479.295156,5327.641924,5180.070734,5038.349474,4902.938215,4771.682097,4645.179129,4522.481558,4403.316108,4288.836817,4178.768796,4072.253066,,,
Angola,AGO,Renewable internal freshwater resources per capita (cubic meters),ER.H2O.INTR.PC,,27199.21754,26804.79589,26429.38791,26087.57422,25799.33487,25574.36923,25396.81232,25220.66806,24964.63624,24545.16808,23959.661,23253.14298,22498.45323,21756.72628,21044.51013,20366.65483,19702.08583,19043.72207,18400.59538,17767.0066,17146.58371,16541.57658,15953.9371,15388.2913,14843.60904,14323.6332,13839.46242,13381.23938,12937.63065,12512.00688,12102.6854,11715.8059,11351.1992,10993.88346,10638.10441,10289.67521,9952.158361,9631.112763,9325.329428,9027.658917,8735.899417,8449.350625,8165.813689,7884.450186,7608.879336,7340.417828,7078.060099,6822.942161,6575.535082,6334.481601,6100.800644,5875.745763,5660.304765,5455.55004,5261.713169,5076.360466,4899.262555,4732.436211,4574.453999,4427.361742,,,
Albania,ALB,Renewable internal freshwater resources per capita (cubic meters),ER.H2O.INTR.PC,,16206.7719,15718.86948,15261.36362,14828.00343,14425.20904,14050.13024,13685.40261,13301.87037,12922.16199,12596.70547,12295.15877,11992.19304,11712.19183,11446.20454,11185.81722,10941.51536,10702.01222,10482.15579,10275.6785,10067.37657,9867.735659,9661.391571,9458.642175,9261.717191,9073.240955,8899.51979,8723.555708,8560.510397,8333.480486,8184.89464,8234.382988,8284.470867,8335.174405,8386.499793,8438.463836,8491.073167,8544.345311,8598.287375,8652.917642,8708.243729,8790.352702,8816.752485,8849.80208,8886.865576,8932.464261,8988.998335,9057.187215,9126.954237,9188.667947,9234.399615,9259.275195,9274.579618,9291.587279,9310.845162,9337.998398,9352.93997,9361.54604,9384.672492,9424.737167,9479.010335,,,
Andorra,AND,Renewable internal freshwater resources per capita (cubic meters),ER.H2O.INTR.PC,,,28654.4398,26657.6569,24869.97636,23269.18823,21696.68637,20044.45856,18478.83366,17106.61824,15891.23867,14801.61336,13822.70498,12938.13799,12137.06111,11418.23444,10773.53724,10197.42156,9688.708786,9243.746705,8862.430148,8532.727715,8176.589461,7805.698457,7482.041678,7203.999178,6920.293827,6625.380498,6355.983405,6111.659792,5891.46708,5693.256846,5509.487981,5335.046318,5170.634205,5015.25553,4919.949491,4879.255434,4841.53039,4806.945396,4774.800672,4653.494544,4454.544171,4270.231507,4102.270807,3953.599078,3934.13196,4037.457783,4149.628558,4273.411688,4412.813378,4472.345431,4444.256685,4422.211947,4406.528811,4398.851504,4350.70306,4274.279833,4207.27074,4133.9743,4061.776062,,,
Arab World,ARB,Renewable internal freshwater resources per capita (cubic meters),ER.H2O.INTR.PC,,1238.385647,1207.304097,1176.389625,1145.991525,1116.143171,1086.395314,1056.633174,1027.360195,998.7999248,971.1760252,944.4948198,918.4820197,892.9053613,867.7446581,841.7825603,813.3060442,786.3892816,763.3565442,739.2835638,714.847453,693.3590484,672.8560038,651.9348449,631.3939301,611.9143659,593.1250595,575.316699,559.4056628,544.4505723,531.0584567,519.5159705,506.3721883,492.5848295,479.4251454,467.8367161,456.8747614,446.3519491,436.251076,426.5530693,417.146007,408.0729447,399.2610239,390.7478771,382.4581242,373.7842121,364.5740777,355.1273038,345.8043016,336.9756022,328.9447741,321.8936944,296.4850665,289.8197243,283.4167014,277.4352901,271.703176,266.1962703,260.7308459,255.4614755,251.0482999,,,
United Arab Emirates,ARE,Renewable internal freshwater resources per capita (cubic meters),ER.H2O.INTR.PC,,1063.950519,1007.54314,955.3775015,907.4135689,863.0758874,821.8772773,783.6826817,702.3063741,592.2743731,503.2138592,435.3972129,382.2941728,339.7154543,304.9059365,276.0427977,244.2292694,212.2057943,186.2819489,165.1160436,147.9219919,136.341326,128.4404927,121.2050693,114.649886,108.7322114,102.131345,95.18316096,89.09051061,83.7128315,78.94109468,74.68694965,70.88073088,67.4677639,64.40466049,61.62725535,58.30371181,54.62254185,51.34999127,48.4251652,45.79687012,43.42542031,41.280749,39.33453312,37.56255104,35.03859969,30.61878107,25.54224483,21.46326526,18.76725649,17.68498584,17.49229319,17.31108328,17.13923929,16.97610138,16.82199159,16.67729752,16.54114511,16.41107511,16.2837153,16.15110717,,,
Argentina,ARG,Renewable internal freshwater resources per capita (cubic meters),ER.H2O.INTR.PC,,14119.47679,13891.29463,13667.84159,13450.96045,13240.43205,13033.90118,12831.20887,12633.59868,12440.33962,12246.88221,12054.47019,11863.74859,11670.3892,11473.58831,11284.7808,11106.77617,10930.68821,10756.60128,10585.79544,10419.34175,10255.94735,10095.85461,9939.702429,9788.082319,9641.06449,9496.451937,9354.041601,9214.032896,9077.974391,8946.720655,8820.216589,8698.686871,8581.36011,8466.542197,8355.722568,8251.067086,8152.787481,8058.908413,7966.598997,7876.825016,7790.719295,7707.530268,7628.370055,7551.308295,7473.669201,7396.739927,7322.679988,7250.37679,7177.209077,7158.888816,7076.816664,6996.815562,6918.950068,6843.295562,6769.920944,6698.727572,6629.611829,6562.608567,6497.73852,6435.011682,,,
