Series Name,Series Code,Country Name,Country Code,1974 [YR1974],1975 [YR1975],1976 [YR1976],1977 [YR1977],1978 [YR1978],1979 [YR1979],1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023]
"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,Afghanistan,AFG,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,4.07152631,3.48709272,4.208668305,6.393912575,..,..,9.97526212,6.69241862,6.800694686,6.743572835,7.180397166,6.594439084,4.022497858,..,..
"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,Albania,ALB,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3.934935538,5.786632908,3.400122981,7.885849437,8.314658468,40.9992381,20.41968328,16.5821972,4.116881082,6.976127691,6.915206443,5.366973263,4.277379925,5.078093829,3.163095532,3.528126815,3.150738442,2.900487845,4.084575425,4.895447716,5.428406749,4.295095209,4.646160226,2.220309903,2.742043475,2.014340017,2.294045943,2.26174791,2.127772012,2.311968641,..,..
"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,Algeria,DZA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.933151634,0.797438134,0.948810749,0.787020436,0.708382326,0.766209263,1.403628837,1.26313707,1.488641658,1.380769964,1.343601939,1.273806508,1.354735386,1.215303879,1.505120655,1.573182343,..,..
"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,American Samoa,ASM,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1.714560044,12.03224642,5.177725425,6.941371441,10.47961714,7.037607214,1.773599965,5.367638507,3.612325254,9.115853381,9.20640766,3.724984402,5.660911407,5.74531039,7.786949073,0,14.1519924,26.84619197,0,..,..,..,..
"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,Andorra,AND,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1.299823874,..,..,0,1.314837946,0,0,1.417082935,0,0,0,0,..,..,..,..,2.574002574,..,..,..
"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,Angola,AGO,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,4.34888145,4.831609765,..,..,4.458235347,4.102248123,..,..,..,..,..,..,..
"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,Antigua and Barbuda,ATG,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1.579080344,4.714460823,3.093150219,6.075933985,7.454675573,10.23421737,4.298117425,1.404149261,..,..,6.66178136,9.184543725,6.477103439,6.404139636,5.067075411,3.756150697,13.59778974,20.72778926,19.21898836,18.92740748,7.001575354,..,11.40589,..,..,..,..,21.94931902,13.09679074,3.256745534,9.712509713,17.16379084,..,..
"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,Argentina,ARG,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,8.348342808,9.423247622,7.751155564,6.046218687,5.625727779,5.347437734,5.3641138,5.887206633,6.493899366,5.800469259,6.047580077,6.311920675,7.247288159,7.537819838,6.558466154,6.011233587,5.259380765,5.367725685,5.155823421,5.366813844,4.622678556,..,..
"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,Armenia,ARM,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,5.004864982,5.141486238,8.532529429,7.751602781,4.653625745,3.491050046,3.455699972,3.056778437,2.869883199,2.807210601,2.87200016,2.808689767,2.222195384,..,2.707335411,1.903357983,2.61028754,2.562913707,3.251301652,3.27227725,1.900693516,2.42405537,2.230288623,2.171377148,2.491410258,2.605438175,3.035764446,2.45448422,1.762700344,2.588100446,1.85343037,2.185617312,..,..
"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,Aruba,ABW,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0,..,..,..,..,7.787151201,..,..,..,2.30237029,..,4.4106053,5.447750624,4.314948059,2.138134157,6.35034874,5.229769942,3.099589821,5.102249071,4.03177035,3.98638649,1.97456757,3.917286496,5.832037325,1.930613742,..,..,..,..,..,..,..,..,..
"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,Australia,AUS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2.193805339,1.968608169,1.723693234,1.888664048,1.797197091,1.977448313,1.943789826,1.977159409,1.795538002,2.047775234,1.903463583,1.802771358,1.879251035,1.533072823,1.319946102,1.283975116,1.372939796,1.224147211,1.228358246,1.214169758,1.049085936,1.109270577,1.069106094,1.060065404,1.035382845,0.990754227,0.938183173,0.845860834,0.884735038,0.887322994,0.860925459,0.744567483,..,..
"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,Austria,AUT,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1.159045983,1.328066111,1.237116058,1.011982185,1.108959701,0.981465959,1.244024754,0.828407551,0.965412892,0.750809326,1.023665588,0.870687322,0.804555816,0.61575566,0.722046711,0.656372597,0.737805333,0.542513661,0.697020591,0.611295628,0.729418239,0.917628046,0.960895526,0.71937873,0.491454225,0.509116601,0.618097447,0.795680953,0.972794281,0.867123025,0.729699453,0.728529507,..,..
